rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"matchList(stand_id, {'TBOG'});nl_nli02_isForest(foresttype)",NA,"Translate all forest, plus any treed bog polygons that will be recorded in PRODUCTIVITY_TYPE. isForest selects all commercial and non-commercial rows.",TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moisture_regime);notEmpty(soil_moisture_regime);matchList(soil_moisture_regime,{'d','D','r','R','w','W'}|NOT_APPLICABLE)","mapText(soil_moisture_regime, {'d','D','r','R','w','W'}, {'DRY','DRY','DRY','DRY','WET','WET'})",Maps source value to SOIL_MOIST_REG using lists of values. Soil moisture only valid for non commercial stands,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,STRUCTURE_RANGE,double precision,false(),nothingDouble(),No complex structure,TRUE
5,LAYER,integer,true(),copyInt(1),Only 1 layer possible in NL. Every polygon is either LYR or NFL.,TRUE
6,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
7,CROWN_CLOSURE_UPPER,integer,"notNull(crown_closure_upper);notEmpty(crown_closure_upper|-8888);isInt(crown_closure_upper);isBetween(crown_closure_upper, 0, 4|-9997)","mapInt(crown_closure_upper, {'0', '1', '2', '3', '4'}, {-8886, 100, 75, 50, 25})","Translation is different for commercial and non commercial forest. Check there is a valid crown_closure_upper of 1, 2, 3 or 4. 4 is only valid for non commercial so make sure commercial doesn`t have value 4. Translation determines if polygon is commercial or non commercial based on nfcode and working_group. Then runs either the commercial or non commercial mapping.",TRUE
8,CROWN_CLOSURE_LOWER,integer,"notNull(crown_closure_lower);notEmpty(crown_closure_lower|-8888);isInt(crown_closure_lower);isBetween(crown_closure_lower, 0, 4|-9997)","mapInt(crown_closure_lower, {'0', '1', '2', '3', '4'}, {-8886, 76, 51, 26, 10})","Translation is different for commercial and non commercial forest. Check there is a valid crown_closure_lower of 1, 2, 3 or 4. 4 is only valid for non commercial so make sure commercial doesn`t have value 4. Translation determines if polygon is commercial or non commercial based on nfcode and working_group. Then runs either the commercial or non commercial mapping.",TRUE
9,HEIGHT_UPPER,double precision,"notNull(height_upper);notEmpty(height_upper|-8888);isNumeric(height_upper);isBetween(height_upper, 1, 8|-9997)","mapDouble(height_upper, {'1', '2', '3', '4', '5', '6', '7', '8'}, {3.5, 6.5, 9.5, 12.5, 15.5, 18.5, 21.5,100})",Translation is different for commercial and non commercial forest. Check there is a valid height code of 1 to 8. 6 to 8 are only valid for commercial so make sure non commercial doesnt have these values. Translation determines if polygon is commercial or non commercial based on nfcode and working_group. Then runs either the commercial or non commercial mapping.,TRUE
10,HEIGHT_LOWER,double precision,"notNull(height_lower);notEmpty(height_lower|-8888);isNumeric(height_lower);isBetween(height_lower, 1, 8|-9997)","mapDouble(height_lower, {'1', '2', '3', '4', '5', '6', '7', '8'}, {0, 3.6, 6.6, 9.6, 12.6, 15.6, 18.6, 21.6})",Translation is different for commercial and non commercial forest. Check there is a valid height code of 1 to 8. 6 to 8 are only valid for commercial so make sure non commercial doesnt have these values. Translation determines if polygon is commercial or non commercial based on nfcode and working_group. Then runs either the commercial or non commercial mapping.,TRUE
11,PRODUCTIVITY,text,notEmpty(foresttype); notNull(foresttype),"mapText(foresttype, {'1', '2'}, {'PRODUCTIVE_FOREST', 'NON_PRODUCTIVE_FOREST'})",Validate that polygon is either commercial or non commercial. Treed bog is neither so will return UNKNOWN_VALUE. Translate non commercial polygons to NON_PRODUCTIVE_FOREST and commercial to PRODUCTIVE_FOREST.,FALSE
