rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({species}, TRUE);matchList(subtype, {701, 702, 703, 704, 711, 712, 713, 721, 722, 723, 724, 725, 731, 732, 733, 734})",NA,"Translate only rows where species is not empty, or non-productive code exists.",TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Create cas_id using the unique identifier poly_id added during loading.,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moist_reg);notEmpty(soil_moist_reg);notMatchList(soil_moist_reg, 0|NULL_VALUE);matchList(soil_moist_reg,{1,2,3,4})","mapText(soil_moist_reg, {1,2,3,4}, {'DRY','DRY','MOIST','WET'})",Maps source value to SOIL_MOIST_REG using lists of values. Catch zero as a null value.,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,STRUCTURE_RANGE,double precision,false(),nothingDouble(),No complex stands identified,TRUE
5,LAYER,integer,true(),copyInt(1),"Every polygon is either LYR, NFL, or DST. So LYR layer is always 1.",TRUE
6,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
7,CROWN_CLOSURE_UPPER,integer,"notNull(crown_closure_upper);notEmpty(crown_closure_upper|-8888);isInt(crown_closure_upper);isBetween(crown_closure_upper, 0, 4)","mapInt(crown_closure_upper, {0,1,2,3,4}, {20,40,60,80,100})",Maps source value to CROWN_CLOSURE_UPPER using lists of values.,TRUE
8,CROWN_CLOSURE_LOWER,integer,"notNull(crown_closure_lower);notEmpty(crown_closure_lower|-8888);isInt(crown_closure_lower);isBetween(crown_closure_lower, 0, 4)","mapInt(crown_closure_upper, {0,1,2,3,4}, {1,21,41,61,81})",Maps source value to CROWN_CLOSURE_UPPER using lists of values.,TRUE
9,HEIGHT_UPPER,double precision,"notNull(height_upper);isNumeric(height_upper);isGreaterThan(height_upper, 0, FALSE|-9999);isBetween(height_upper,0,100)",copyDouble(height_upper),Copies source value to HEIGHT_UPPER,TRUE
10,HEIGHT_LOWER,double precision,"notNull(height_lower);isNumeric(height_lower);isGreaterThan(height_lower, 0, FALSE|-9999);isBetween(height_lower,0,100)",copyDouble(height_lower),Copies source value to HEIGHT_LOWER,TRUE
11,PRODUCTIVITY,text,"notNull(subtype|UNKNOWN_VALUE);notEmpty(subtype|UNKNOWN_VALUE);matchTable(subtype, 'translation', 'mb_fri01_productivity_lookup', 'source_val', FALSE|UNKNOWN_VALUE)","lookupText(subtype, 'translation', 'mb_fri01_productivity_lookup', 'source_val', 'productivity')",Maps source value to PRODUCTIVITY using the lookup table.,TRUE
12,PRODUCTIVITY_TYPE,text,"notNull(subtype|UNKNOWN_VALUE);notEmpty(subtype|UNKNOWN_VALUE);matchTable(subtype, 'translation', 'mb_fri01_productivity_lookup', 'source_val', FALSE|UNKNOWN_VALUE)","lookupText(subtype, 'translation', 'mb_fri01_productivity_lookup', 'source_val', 'productivity_type')",Maps source value to PRODUCTIVITY_TYPE using the lookup table.,TRUE
